"Color.Score","Fragment.ID","Timepoint","Treatment","Species","Genotype","Group"
2.54848130685516,"1175","Day 3","Ambient","Pacuta","P-G3","Day 3 Ambient Pacuta"
5.4725258764964,"1209","Day 1","High","Pacuta","P-G3","Day 1 High Pacuta"
-5.0507779663136,"1536","Day 1","Ambient","Pacuta","P-G3","Day 1 Ambient Pacuta"
-5.12024459966252,"1437","Day 7","High","Pacuta","P-G3","Day 7 High Pacuta"
-6.68409701448371,"1701","Day 3","High","Pacuta","P-G3","Day 3 High Pacuta"
-6.70548147326584,"2537","Day 1","Ambient","Pacuta","P-G3","Day 1 Ambient Pacuta"
-3.90050216384347,"1149","Day 5","Ambient","Pacuta","P-G3","Day 5 Ambient Pacuta"
-5.38209335360355,"1488","Day 3","Ambient","Pacuta","P-G3","Day 3 Ambient Pacuta"
-0.520712582668887,"1597","Day 7","High","Pacuta","P-G3","Day 7 High Pacuta"
-6.5768811343953,"2300","Day 5","Ambient","Mcapitata","M-G4","Day 5 Ambient Mcapitata"
-6.35029899028052,"2986","Day 5","High","Mcapitata","M-G4","Day 5 High Mcapitata"
-5.59358216908437,"1589","Day 3","High","Mcapitata","M-G4","Day 3 High Mcapitata"
-6.18280684627539,"1333","Day 7","High","Mcapitata","M-G4","Day 7 High Mcapitata"
-5.75253749858484,"2865","Day 3","Ambient","Mcapitata","M-G4","Day 3 Ambient Mcapitata"
-4.85648028396368,"1056","Day 3","Ambient","Mcapitata","M-G4","Day 3 Ambient Mcapitata"
-2.8901483852891,"1727","Day 1","High","Mcapitata","M-G4","Day 1 High Mcapitata"
6.16549216415897,"1566","Day 5","High","Mcapitata","M-G4","Day 5 High Mcapitata"
4.80986754642675,"2416","Day 7","High","Mcapitata","M-G4","Day 7 High Mcapitata"
1.58636841482021,"2073","Day 1","Ambient","Mcapitata","M-G4","Day 1 Ambient Mcapitata"
-1.21228855219304,"1431","Day 7","Ambient","Mcapitata","M-G4","Day 7 Ambient Mcapitata"
-0.778419250143597,"2659","Day 5","Ambient","Mcapitata","M-G4","Day 5 Ambient Mcapitata"
-6.08553460518693,"2011","Day 1","Ambient","Mcapitata","M-G4","Day 1 Ambient Mcapitata"
12.5576808895988,"1731","Day 3","High","Mcapitata","M-G4","Day 3 High Mcapitata"
10.2162126864656,"2869","Day 7","High","Pacuta","P-G5","Day 7 High Pacuta"
10.9778844726532,"1285","Day 7","High","Pacuta","P-G5","Day 7 High Pacuta"
-2.4473694532187,"1234","Day 1","High","Pacuta","P-G5","Day 1 High Pacuta"
-5.43694051461968,"1757","Day 3","High","Pacuta","P-G5","Day 3 High Pacuta"
-5.18455071435099,"1487","Day 3","High","Pacuta","P-G5","Day 3 High Pacuta"
6.53093713702236,"1226","Day 1","Ambient","Pacuta","P-G5","Day 1 Ambient Pacuta"
3.13741349465216,"1100","Day 1","Ambient","Pacuta","P-G5","Day 1 Ambient Pacuta"
