mVTris,TTris
-88.9,22.16
-88.5,22.7
-87.1,23.8
-85.8,25
-83.9,26.5
-84.2,26.6
-82.5,27.7
-81.8,28.3
-80.7,29.1
-80.2,29.5
-79.6,30.2
-78.8,30.8
-78.3,31.1
-78.1,31.4
