mVTris,TTris
-81.14,31.3
-82.86,30
-85.71,29.2
-86.29,28.2
-86.86,27.9
-87.43,27.6
-88,26.8
-89.14,26.3
-89.71,25.6
-91.43,24.6
-93.14,23.5
-93.71,23.1
-94.29,23
-94.88,22.6
